attempts,conditional_failed_spend_usd,conditional_successful_spend_usd,config,failures,harness,imputed_cost_rows,mean_cost_per_attempt_usd,model,observed_cost_rows,pass_rate,pass_rate_rank,provider,rank_displacement,realized_cpsc_rank,realized_cpsc_usd,realized_reliability_tax_share,realized_reliability_tax_usd,reasoning_effort,stratum,successes,task_coverage_rate,tasks_in_stratum,tasks_with_any_success,total_cost_usd
68,9.46914568627451,9.496088411764706,mini_swe_agent_gpt_5_6_sol_max,51,mini-swe-agent,0,9.475881367647059,gpt-5-6-sol,68,0.25,9.0,openai,17.0,26.0,37.903525470588235,0.7494668821998279,28.407437058823533,max,rare,17,0.4117647058823529,17,7,644.359933
68,2.1539588644067797,3.00534,mini_swe_agent_gpt_5_6_sol_medium,59,mini-swe-agent,0,2.266641661764706,gpt-5-6-sol,68,0.1323529411764706,24.0,openai,-16.0,8.0,17.125737,0.824513245765715,14.120397,medium,rare,9,0.29411764705882354,17,5,154.131633
68,5.468840857142857,5.756192210526316,mini_swe_agent_gpt_5_6_sol_xhigh,49,mini-swe-agent,0,5.549130205882353,gpt-5-6-sol,68,0.27941176470588236,5.0,openai,6.0,11.0,19.86004494736842,0.7101621760786072,14.103852736842105,xhigh,rare,19,0.47058823529411764,17,8,377.340854
68,1.3418435833333333,1.2571349375,mini_swe_agent_gpt_5_6_terra_high,60,mini-swe-agent,0,1.3318778602941177,gpt-5-6-terra,68,0.11764705882352941,26.5,openai,-24.5,2.0,11.3209618125,0.8889551119135533,10.063826875,high,rare,8,0.17647058823529413,17,3,90.5676945
68,0.49411177272727275,0.49409200000000003,mini_swe_agent_gpt_5_6_terra_low,66,mini-swe-agent,0,0.4941111911764706,gpt-5-6-terra,68,0.029411764705882353,38.0,openai,-31.0,7.0,16.7997805,0.9705893776409759,16.305688500000002,low,rare,2,0.11764705882352941,17,2,33.599561
68,5.9535905,6.1505168823529415,mini_swe_agent_gpt_5_6_terra_max,51,mini-swe-agent,0,6.002822095588235,gpt-5-6-terra,68,0.25,9.0,openai,6.0,15.0,24.011288382352944,0.7438489436962801,17.8607715,max,rare,17,0.47058823529411764,17,8,408.1919025
67,0.6706143384615385,1.39600075,mini_swe_agent_gpt_5_6_terra_medium,65,mini-swe-agent,0,0.6922676641791045,gpt-5-6-terra,67,0.029850746268656716,37.0,openai,-23.0,14.0,23.19096675,0.9398041157555452,21.794966000000002,medium,rare,2,0.11764705882352941,17,2,46.3819335
68,2.3525605086206895,2.3652538,mini_swe_agent_gpt_5_6_terra_xhigh,58,mini-swe-agent,0,2.3544271691176473,gpt-5-6-terra,68,0.14705882352941177,22.0,openai,-17.0,5.0,16.01010475,0.8522649391160291,13.644850949999999,xhigh,rare,10,0.29411764705882354,17,5,160.1010475
68,3.4092705271666666,2.78770916,mini_swe_agent_kimi_k2_7_code_default,60,mini-swe-agent,0,3.3361456604411766,kimi-k2-7-code,68,0.11764705882352941,26.5,openrouter,-8.5,18.0,28.35723811375,0.9016932061995034,25.569528953749998,,rare,8,0.23529411764705882,17,4,226.85790491
119,7.683561169822212,13.698001612068966,mini_swe_agent_claude_fable_5_high,61,mini-swe-agent,4,10.614969116463488,claude-fable-5,115,0.48739495798319327,12.0,vertex_ai,19.0,31.0,21.778988359640604,0.37104509236741195,8.080986747571638,high,contested,58,0.7741935483870968,31,24,1263.181324859155
